metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
ECOM 8_deco_1,manuscript_16688,,ECOM 8,,manuscript,,ECOM_8,,"surah headings in gold, opening double page of illumination in colours and gold.",heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 15_deco_1,manuscript_16695,,ECOM 15,,manuscript,,ECOM_15,,Headings written in blue.,heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 10_deco_1,manuscript_16690,,ECOM 10,,manuscript,,ECOM_10,,Illuminated opening.,headpiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 20_deco_1,manuscript_16700,,ECOM 20,,manuscript,,ECOM_20,A fine example of a Safavid manuscript,", with illuminations.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 21_deco_1,manuscript_16701,,ECOM 21,,manuscript,,ECOM_21,Opening double page of illuminations replaced in 19th century.,Contains 48 miniatures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 26_deco_1,manuscript_16706,,ECOM 26,,manuscript,,ECOM_26,,Illuminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 26_deco_2,manuscript_16706,,ECOM 26,,manuscript,,ECOM_26,,with numerous miniatures,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 19_deco_1,manuscript_16699,,ECOM 19,,manuscript,,ECOM_19,A fine example of an early Safavid manuscript with illuminations.,"Illustrations on ff. , , , , , .",,1b; 2a; 143b; 185a; 239a; 421a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 25_deco_1,manuscript_16705,,ECOM 25,,manuscript,,ECOM_25,,Illuminated unwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 25_deco_2,manuscript_16705,,ECOM 25,,manuscript,,ECOM_25,,miniature on f.,,15b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 4_deco_1,manuscript_16684,,ECOM 4,,manuscript,,ECOM_4,,Illuminated devices in margins.,marginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 5_deco_1,manuscript_16685,,ECOM 5,,manuscript,,ECOM_5,,Spanish illuminated manuscript; illuminated devices in margins.,marginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 7_deco_1,manuscript_16687,,ECOM 7,,manuscript,,ECOM_7,,"surah headings in gold, opening double page of illumination in colours and gold.",heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 2_deco_1,manuscript_16682,,ECOM 2,,manuscript,,ECOM_2,,Part of an Illuminated copy in Mamluk style; Surah headings in gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOM 3_deco_1,manuscript_16683,,ECOM 3,,manuscript,,ECOM_3,,Part of an Illuminated copy in Mamluk style; Surah headings in gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_1,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,"Decorated headpiece in with a rectangular panel surmounted by spade-shaped ornamentation; the inner ornamentation contains yellow and pink flowers with white stems on gold ground, the outer ornamentation red flowers with white stems in blue ground",unwan,f. 1b,1b,1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_2,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Section headings written in white ink within a small rectangular gilded panel,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_3,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Rubrications in red ink,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_4,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,"Page borders ruled in red and gold; frame decorated with white, red and gold flowers",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_5,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Illustrations in,illustration,f.,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_88_deco_6,manuscript_5110,,Ms_88,,manuscript,,Ms_88,,Seal with the legend: از تقاضای حکمت ازلی میر جهان مراد علی بسنت ۱۲۳۰; dated in 1230 / 1814.,other,,,,1230; 1814,1230 1814,1230 1814,1230 1814,,#Hijri-qamari #Gregorian,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_1,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,Rubrications in red ink,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_2,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_3,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,"Title page (f. 9v) carpet page illumination. Border of silver flowers with black penwork on a pink ground. Central panel on a light blue ground, divided into three decorative panels, above a panel with text in clouds on a gold ground. 1. Flower design in blue, with ochre stems and leaves against a pink ground, and a blue half lozenge decorated with ochre, red, white and gold flowers; 2. Green leaves against a gold ground, with red and blue flowers, red corner decorations; 3. Gold lozenge outlined in red, on a blue ground with gold flowers, containing the initial word in a cloud.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms_33_deco_4,manuscript_5109,,Ms_33,,manuscript,,Ms_33,,"central panels on front, back and envelope flap, decorated with multicoloured flowers and birds outlined in gold, border of stylised multicoloured flowers outlined in gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 374**_deco_1,manuscript_34171,,MS 374**,,manuscript,,MS_374-AST-AST,,Every page of text is framed in fillets of gold. The double-page opening is highly gilded and has polychrome floral scrolls on gilded frames. It also presents decorative headings and marginal rosettes.,illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 373_deco_1,manuscript_34169,,MS 373,,manuscript,,MS_373,,"Every page is set in a broad paper margin tinted with safflower. The text is framed by narrow fillets of gold, with a broader band of blue, and rules of red, white and blue. The manuscript opens with a fully-illuminated double-page in gold, blue and polychrome floral scrolls, with decorated title-pages for every book of the Quintet, and two separate ones for the Sharafnameh and the Iqbalnameh.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 373_deco_2,manuscript_34169,,MS 373,,manuscript,,MS_373,,It contains 17 paintings.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 18-1948_deco_1,manuscript_34174,,MS 18-1948,,manuscript,,MS_18-1948,,"There are 10 paintings, and four additiona ones, in two different hands, have been added at the beginning and at the end of the manuscript.",illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 261-1949_deco_1,manuscript_34181,,MS 261-1949,,manuscript,,MS_261-1949,,"Each text block is tinted red , and is set within rules of blue, gold and green.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 261-1949_deco_2,manuscript_34181,,MS 261-1949,,manuscript,,MS_261-1949,,"There are 17 paintings, all with borders of landscapes and figures drawn in gold and added in the 16th century.",illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 188 A_deco_1,manuscript_34187,,MS McClean 188 A,,manuscript,,MS-McClean_188_A,,"Coloured and decorated surah headings, with vowel points in red and puctuation in yellow.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 20-1948_deco_1,manuscript_34176,,MS 20-1948,,manuscript,,MS_20-1948,,"The recto of the folio presents a full page painting of Bilquis enthroned, the verso presents a golden medallion on a wider background with bands of blue and polichrome scrolls of flowers and vegetations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 374_deco_1,manuscript_34170,,MS 374,,manuscript,,MS_374,,"Ornamental chapter headings of the two main surahs, marginal and interlinear rosettes in gold, ""waqf"" markings on numerous folios.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 188 B_deco_1,manuscript_34188,,MS McClean 188 B,,manuscript,,MS_McClean_188_B,,"Coloured and decorated surah headings, with vowel points in red and puctuation in yellow.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 81-1972_deco_1,manuscript_34186,,MS 81-1972,,manuscript,,MS_81-1972,,"The frontispiece has a double page decoration, richly ornamented, in gold, blue and colours. There are decorative headings, tail-pieces and rosettes throughout the book.",decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 198_deco_1,manuscript_34195,,MS McClean 198,,manuscript,,MS_McClean_198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 311_deco_1,manuscript_34162,,MS 311,,manuscript,,MS_311,,The title-page and preface heading and higly decorated.,illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 311_deco_2,manuscript_34162,,MS 311,,manuscript,,MS_311,,There are 68 paintings.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 199_deco_1,manuscript_34196,,MS McClean 199,,manuscript,,MS_McClean_199,,The textblock is frames into double rules in black.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Marlay 11_deco_1,manuscript_34166,,MS Marlay 11,,manuscript,,MS-MARLAY-11,,"There is a decorative heading of the book, where the title of the book is cited. Each text is framed by ruling lines in blue, gold, green and red.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 189_deco_1,manuscript_34189,,MS McClean 189,,manuscript,,MS_McClean_189,,"There is a decorated frontispiece in gold, blue and polichrome scrolls. A decorative heading is found at the beginning of the text.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 200_deco_1,manuscript_34197,,MS McClean 200,,manuscript,,MS_McClean_200,,The textblock is framed by a blue rule and double red rules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 200*_deco_1,manuscript_34198,,MS McClean 200*,,manuscript,,MS_McClean_200-AST,,Some calligraphic specimens are finely decorated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 19-1948_deco_1,manuscript_34175,,MS 19-1948,,manuscript,,MS_19-1948,,"Every collected work presents a decorative heading in blue, gold and polychrome floral scrolls.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 19-1948_deco_2,manuscript_34175,,MS 19-1948,,manuscript,,MS_19-1948,,There are 13 paitings.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 21-1948_deco_1,manuscript_34177,,MS 21-1948,,manuscript,,MS_21-1948,,"Double-page painted opening showing a scene from the enthronement of Luhrasp, and the start of the chapter on his reign.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 192_deco_1,manuscript_34192,,MS McClean 192,,manuscript,,MS_McClean_192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 193_deco_1,manuscript_34193,,MS McClean 193,,manuscript,,MS_McClean_193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 191_deco_1,manuscript_34191,,MS McClean 191,,manuscript,,MS_McClean_191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 24-1948_deco_1,manuscript_34180,,MS 24-1948,,manuscript,,MS_24-1948,,Every page presents the text framed in ruled lines in blue and gold. The textblock is inset into wider borders decorated with gilded flower scrolls. The headings are written in golden ink.,illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 24-1948_deco_2,manuscript_34180,,MS 24-1948,,manuscript,,MS_24-1948,,Two paintings and two calligraphic specimens have been inserted at the beginning and at the end of the manuscript.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 190_deco_1,manuscript_34190,,MS McClean 190,,manuscript,,MS_McClean_190,,"The text starts with a double headings opening page in red, yellow and back with a triangular design.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 201.1_deco_1,manuscript_34199,,MS McClean 201.1,,manuscript,,MS_McClean_201-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 194_deco_1,manuscript_34194,,MS McClean 194,,manuscript,,MS_McClean_194,,"The text block is is decorated with golden rosettes throughout and is framed by rules in blue, gold and green. Illuminated margins with gold and polychrome motifs. Fully illuminated opening and closing double-folios in light-blue, gold and pink.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 263-1949_deco_1,manuscript_34183,,MS 263-1949,,manuscript,,MS_263-1949,,Decorated headings and borders in gold and colours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 309_deco_1,manuscript_34161,,MS 309,,manuscript,,n1,,The text is accompanied by numerous paintings and illustrations.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS McClean 201.2_deco_1,manuscript_34200,,MS McClean 201.2,,manuscript,,MS_McClean_201-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 323_deco_1,manuscript_34163,,MS 323,,manuscript,,MS_323,,"The double-page frontespiece presents two central medallions and an elaborate gold and blue frame with plychrome floral scrolls. At the beginning of the poetical text on ff. 8v-9r, there is a gold and blue decorative heading with fully decorated borders with gilded flowers.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 323_deco_2,manuscript_34163,,MS 323,,manuscript,,MS_323,,There are 6 paintings.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 22-1948_deco_1,manuscript_34178,,MS 22-1948,,manuscript,,MS_22-1948,,"The text is fragmentary, framed in gold. Double-page paintings are present along with decorative headings in gold and blue.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 22-1948_deco_2,manuscript_34178,,MS 22-1948,,manuscript,,MS_22-1948,,There are 25 paintings in different hands.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 231_deco_1,manuscript_34157,,MS 231,,manuscript,,MS_231,,"Golden circles mark the end of each verse, and outside the ruled margins the letter 'ayn is written in alternating gold or in red ink. The text block is ruled in blue and gold, and the whole folios are framed in gold. The opening of each volume is highly decorated with gilded frames and unwans in gold and light blue, and with a large number of polychrome floral scrolls. Folios 2v and 3r of volume one are also highly illuminated with gilded floral scrolls on the borders of the text, and a gilded and light blue unwan at the beginning of the text. Volume two on folios 2v and 3r similarly present gilded floral scrolls on the borders, but no unwan.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 344_deco_1,manuscript_34160,,MS 344,,manuscript,,MS_344,,"The text is framed with ruling lines in blue, gold, red, and green. The division of the text into columns is done with a golden line and two orange ones. The text is sometimes decorated with gilded floral scrolls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 378*_deco_1,manuscript_34172,,MS 378*,,manuscript,,MS_378-AST,,"The text is framed by rules line in blue and a thicker one in gold. It presents a decorated heading in blue, red and gold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 232_deco_1,manuscript_34158,,MS 232,,manuscript,,MS_232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 262-1949_deco_1,manuscript_34182,,MS 262-1949,,manuscript,,MS_262-1949,,"A decorated medallion in blue and gold act as frontispiece, followed by a fully illuminated double-folio title page in blue, gold and polychrome decoration. The poetic text is inlaid in broader paper margings tinted throughout in shades of yello, blue, red and cream, and neraly every page has decorated margins in gold flower scrolls or is flecked in gold and silver.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 262-1949_deco_2,manuscript_34182,,MS 262-1949,,manuscript,,MS_262-1949,,Two paintings have been removed form the manuscript and are now PD 158-1984 and PD 202-1948.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 343_deco_1,manuscript_34165,,MS 343,,manuscript,,MS_343,,There are decorative headings and border markers around the texts of polychrome flowers and gold. The end of the verses are marked by golden rosettes.,illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 343_deco_2,manuscript_34165,,MS 343,,manuscript,,MS_343,,There is a double-page painting of Mecca and Medina on golden background.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 380_deco_1,manuscript_34173,,MS 380,,manuscript,,MS_380,,"Each page of music is framed in coloured rules. Sheets with the musical text often present decorative borders in a variety of colours on gold or silver, with figurative drawings.",illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 13-1951_deco_1,manuscript_34184,,MS 13-1951,,manuscript,,MS_13-1951,,Verse numbers and marginal decorations in gold.,decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 1-1969_deco_1,manuscript_34185,,MS 1-1969,,manuscript,,MS_1-1969,,"The title-page is fully illuminated, in blue and gold, polychrome sprays of flowers, and interlaced ornaments in vermilion. Headings of formal ornament occur at the beginning of every chapter of the Khamsah.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 1-1969_deco_2,manuscript_34185,,MS 1-1969,,manuscript,,MS_1-1969,,There are 42 paintings in different hands.,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 23-1948_deco_1,manuscript_34179,,MS 23-1948,,manuscript,,MS_23-2949,,"The space around the verses is highly decorated, in gold, polychrome scrolls and flowers.",illumination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_1,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,385260 356226 262135 203105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_2,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,390260 355228 210130 183100 11573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_3,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,383268 355238 284188 258165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_4,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,380260 341226 174114 14082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_5,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,398278 364245 283214 14082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_6,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,398273 365240 182111 15080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_7,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,395270 361241 264142 235115 9580 7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_8,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,387268 357235 180108 15080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_9,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,382264 353235 240156 211128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_10,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,383265 353237 175120 14085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_11,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,386270 351234 225143 188115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_12,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,380257 351230 208102 17672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_13,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,393270 365238 235155 210130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_14,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,380257 351230 208102 17672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_15,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,394270 368243 248171 223148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_16,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,395267 366242 287163 263138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_17,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,391277 357242 230176 202146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_18,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,392272 369250 304195 278165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_19,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,397277 362244 165113 13684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_20,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,392268 364246 208120 186101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_21,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,387260 358230 250179 235155 215143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_22,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,392265 357231 185114 16089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_23,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,384266 352233 247164 237143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_24,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,388269 360242 177103 15577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_25,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,384268 353238 288195 262169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_26,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,378262 350235 176117 17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_27,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,390260 358228 237163 210136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_28,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,397270 361240 157106 12573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_29,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,395278 360244 249174 220144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_30,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,387270 361243 167100 14478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_31,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,398278 363242 171115 14385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_32,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,393275 369253 190130 168112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_33,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,393275 361244 217160 190135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_34,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,390275 366246 271161 248140 2843 33123 31123 33123 31124 2843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_35,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,394278 361241 215145 186117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_36,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,388270 361245 268158 38133 30133 171132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_37,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,393272 360242 200115 16986 11086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_38,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,389272 365249 235116 21694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_39,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,394276 357241 244153 214123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_40,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,385270 360245 202134 170110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_41,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,400279 363243 186117 16193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_42,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,387268 360242 170106 14783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_43,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,387268 353236 236161 205134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_44,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,388268 362244 214117 19095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_45,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,394270 365241 188102 16478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_46,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,393268 360236 293195 262165 202117 16796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_47,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,391273 368245 205143 180118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_48,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,396270 360230 271118 24088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Drawings 12_deco_49,manuscript_13826,,Indian Drawings 12,,manuscript,,Indian_Drawings_12,,394274 364244 201133 175104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
