metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
WadhMinasian_19_deco_2,manuscript_13089,,WadhMinasian_19,,manuscript,,WadhMinasian_19,,Linear tooled edges.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_304_deco_1,manuscript_13115,,WadhMinasian_304,,manuscript,,WadhMinasian_304,,Rubricated titles; rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_304_deco_2,manuscript_13115,,WadhMinasian_304,,manuscript,,WadhMinasian_304,,,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_462_deco_1,manuscript_13141,,WadhMinasian_462,,manuscript,,WadhMinasian_462,,"Rubricated titles, segments from al-Taṣrīf in cinnabar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_462_deco_2,manuscript_13141,,WadhMinasian_462,,manuscript,,WadhMinasian_462,,"Simple tooling; medallion, half medallion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_258_deco_1,manuscript_13057,,WadhMinasian_258,,manuscript,,WadhMinasian_258,,Rubricated titles and geometrical diagrams; figures in Sīyāq script.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_258_deco_2,manuscript_13057,,WadhMinasian_258,,manuscript,,WadhMinasian_258,,,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_516_deco_1,manuscript_7865,,WadhMinasian_516,,manuscript,,WadhMinasian_516,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_516_deco_2,manuscript_7865,,WadhMinasian_516,,manuscript,,WadhMinasian_516,,"Tooled, ruled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_716_deco_1,manuscript_7896,,WadhMinasian_716,,manuscript,,WadhMinasian_716,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_702_deco_1,manuscript_13130,,WadhMinasian_702,,manuscript-composite,,WadhMinasian_702,,"Ruled, tooled edges",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_702_deco_2,manuscript_13130,,WadhMinasian_702,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_514_deco_1,manuscript_7864,,WadhMinasian_514,,manuscript,,WadhMinasian_514,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_514_deco_2,manuscript_7864,,WadhMinasian_514,,manuscript,,WadhMinasian_514,,Simple tooling (medallion and two half-medallion).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_500_deco_1,manuscript_7856,,WadhMinasian_500,,manuscript,,WadhMinasian_500,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_528_deco_1,manuscript_7868,,WadhMinasian_528,,manuscript,,WadhMinasian_528,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_110_deco_1,manuscript_13087,,WadhMinasian_110,,part,,,,Rubricated titles; rubricated line above some phrases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_110_deco_2,manuscript_13087,,WadhMinasian_110,,part,,,,Rubricated titles; rubricated line above some phrases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_110_deco_3,manuscript_13087,,WadhMinasian_110,,part,,,,Rubricated titles; rubricated line above some phrases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_110_deco_4,manuscript_13087,,WadhMinasian_110,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_110_deco_5,manuscript_13087,,WadhMinasian_110,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_105_deco_1,manuscript_7801,,WadhMinasian_105,,manuscript-composite,,WadhMinasian_105,,Decorated tooled edges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_105_deco_2,manuscript_7801,,WadhMinasian_105,,part,,,,Rubricated line above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_105_deco_3,manuscript_7801,,WadhMinasian_105,,part,,,,Rubricated line above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_26_deco_1,manuscript_13082,,WadhMinasian_26,,manuscript,,WadhMinasian_26,,"Tooled, ruled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_307_deco_1,manuscript_13102,,WadhMinasian_307,,manuscript,,WadhMinasian_307,,Rubricated titles and signs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_307_deco_2,manuscript_13102,,WadhMinasian_307,,manuscript,,WadhMinasian_307,,"Ruled, tooled edges",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_717_deco_1,manuscript_7897,,WadhMinasian_717,,manuscript,,WadhMinasian_717,,Rubricated titles; rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_764_deco_1,manuscript_13064,,WadhMinasian_764,,manuscript-composite,,WadhMinasian_764,,,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_566_deco_1,manuscript_13111,,WadhMinasian_566,,manuscript-composite,,WadhMinasian_566,,"Two corner-pieces, Simple tooling (medallion + two half-medallions); decorated edges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_566_deco_2,manuscript_13111,,WadhMinasian_566,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_348_deco_1,manuscript_13059,,WadhMinasian_348,,manuscript-composite,,WadhMinasian_348,,Ruled and tooled border.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_348_deco_2,manuscript_13059,,WadhMinasian_348,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_348_deco_3,manuscript_13059,,WadhMinasian_348,,part,,,,Rubricated titles and signs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_189_deco_1,manuscript_13125,,WadhMinasian_189,,manuscript,,WadhMinasian_189,,Rubricated titles; rubricated line above Quranic verses and hadiths.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_41_deco_1,manuscript_13129,,WadhMinasian_41,,manuscript,,WadhMinasian_41,,"Rubricated titles, rubricated line above Quranic verses and hadiths.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_41_deco_2,manuscript_13129,,WadhMinasian_41,,manuscript,,WadhMinasian_41,,"Painted, tooled edges",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_41_deco_3,manuscript_13129,,WadhMinasian_41,,manuscript,,WadhMinasian_41,,Simple tooling; medallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_83_deco_1,manuscript_13080,,WadhMinasian_83,,manuscript,,WadhMinasian_83,,Rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_163_deco_1,manuscript_13045,,WadhMinasian_163,,manuscript,,WadhMinasian_163,,,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_97_deco_1,manuscript_13124,,WadhMinasian_97,,manuscript,,WadhMinasian_97,,"Decorated, tooled edges",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_605_deco_1,manuscript_7877,,WadhMinasian_605,,manuscript-composite,,WadhMinasian_605,,"Simple tooling (medallion + two half-medallion); decorated, tooled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_605_deco_2,manuscript_7877,,WadhMinasian_605,,part,,,,Rubricated line above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_605_deco_3,manuscript_7877,,WadhMinasian_605,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_54_deco_1,manuscript_13109,,WadhMinasian_54,,manuscript,,WadhMinasian_54,,Persian and Arabic expressions between two lines; Persian translations in cinnabar; rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_54_deco_2,manuscript_13109,,WadhMinasian_54,,manuscript,,WadhMinasian_54,,"Gold tooled (medallion, two half-medallions, rectangular corner-piece); ruled and tooled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_573_deco_1,manuscript_13149,,WadhMinasian_573,,manuscript,,WadhMinasian_573,,Rubricated titles; rubricated lines above the verses with interpretation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_1_deco_1,manuscript_7799,,WadhMinasian_1,,manuscript,,WadhMinasian_1,,Rubricated titles and lists of contents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_1_deco_2,manuscript_7799,,WadhMinasian_1,,manuscript,,WadhMinasian_1,,,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_559_deco_1,manuscript_13049,,WadhMinasian_559,,manuscript,,WadhMinasian_559,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_571_deco_1,manuscript_13096,,WadhMinasian_571,,manuscript,,WadhMinasian_571,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_377_deco_1,manuscript_7829,,WadhMinasian_377,,manuscript,,WadhMinasian_377,,Rubricated titles; rubricated line above some words.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_160_deco_1,manuscript_7814,,WadhMinasian_160,,manuscript,,WadhMinasian_160,,Ruled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_80_deco_1,manuscript_13088,,WadhMinasian_80,,manuscript-composite,,WadhMinasian_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_80_deco_2,manuscript_13088,,WadhMinasian_80,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_80_deco_3,manuscript_13088,,WadhMinasian_80,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_57_deco_1,manuscript_7873,,WadhMinasian_57,,manuscript,,WadhMinasian_57,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_43_deco_1,manuscript_13143,,WadhMinasian_43,,manuscript,,WadhMinasian_43,,"Gold tooled; medallion, two half-medallion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_362_deco_1,manuscript_13041,,WadhMinasian_362,,manuscript,,WadhMinasian_362,,Titles rubricated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_362_deco_2,manuscript_13041,,WadhMinasian_362,,manuscript,,WadhMinasian_362,,"Tooled: medalion, half medalion, corner-piece, rectangular tooling, linear tooled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_438_deco_1,manuscript_7845,,WadhMinasian_438,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_564_deco_1,manuscript_13117,,WadhMinasian_564,,manuscript-composite,,WadhMinasian_564,,"Painted, tooled edges",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_564_deco_2,manuscript_13117,,WadhMinasian_564,,part,,,,Rubricated titles; rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_564_deco_3,manuscript_13117,,WadhMinasian_564,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_558_deco_1,manuscript_7872,,WadhMinasian_558,,manuscript,,WadhMinasian_558,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_548_deco_1,manuscript_7871,,WadhMinasian_548,,manuscript-composite,,WadhMinasian_548,,"Medallion, two half-medallions, and corner-pieces; inside painted in red.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_548_deco_2,manuscript_7871,,WadhMinasian_548,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_616_deco_1,manuscript_13069,,WadhMinasian_616,,manuscript-composite,,WadhMinasian_616,,"Ruled, tooled edges.",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_616_deco_2,manuscript_13069,,WadhMinasian_616,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_616_deco_3,manuscript_13069,,WadhMinasian_616,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_616_deco_4,manuscript_13069,,WadhMinasian_616,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_158_deco_1,manuscript_13145,,WadhMinasian_158,,manuscript,,WadhMinasian_158,,Rubricated titles; rubricated lines above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_91_deco_1,manuscript_13048,,WadhMinasian_91,,manuscript,,WadhMinasian_91,,Some words rubricated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_91_deco_2,manuscript_13048,,WadhMinasian_91,,manuscript,,WadhMinasian_91,,"Simple tooling (medallion + two half-medallions; ruled, tooled edges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_85_deco_1,manuscript_7911,,WadhMinasian_85,,manuscript,,WadhMinasian_85,,Some titles rubricated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_52_deco_1,manuscript_13108,,WadhMinasian_52,,manuscript,,WadhMinasian_52,,Persian and Arabic expressions between two lines; Persian translations in cinnabar; rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_52_deco_2,manuscript_13108,,WadhMinasian_52,,manuscript,,WadhMinasian_52,,"Outer cover with gilt ground (floriated, medallion, two half-medallions, rectangular corner-piece), stripped edges (floriated inside strips).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_415_deco_1,manuscript_13122,,WadhMinasian_415,,manuscript,,WadhMinasian_415,,Decorative tooling,illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_549_deco_1,manuscript_13042,,WadhMinasian_549,,manuscript,,WadhMinasian_549,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_549_deco_2,manuscript_13042,,WadhMinasian_549,,manuscript,,WadhMinasian_549,,"Tooled; medalion, half medalion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_561_deco_1,manuscript_13114,,WadhMinasian_561,,manuscript,,WadhMinasian_561,,Rubricated titles; rubricated geometric tables and diagrams; rubricated line above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_749_deco_1,manuscript_7907,,WadhMinasian_749,,manuscript,,WadhMinasian_749,,Rubricated titles; rubricated line above some expressions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_588_deco_1,manuscript_13091,,WadhMinasian_588,,part,,,,Rubricated titles and tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_239_deco_1,manuscript_7818,,WadhMinasian_239,,manuscript,,WadhMinasian_239,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_239_deco_2,manuscript_7818,,WadhMinasian_239,,manuscript,,WadhMinasian_239,,Simple tooling (medallion and two half-medallion).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_417_deco_1,manuscript_7834,,WadhMinasian_417,,manuscript-composite,,WadhMinasian_417,,Decorated tooled edges; cover decorations removed; back bone mending by leather.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_417_deco_2,manuscript_7834,,WadhMinasian_417,,part,,,,Rubricated titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_371_deco_1,manuscript_13068,,WadhMinasian_371,,manuscript,,WadhMinasian_371,,Rubricated titles; rubricated lines above some expressions; astronomical tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WadhMinasian_44_deco_1,manuscript_7846,,WadhMinasian_44,,manuscript-composite,,WadhMinasian_44,,Tooled cover (medallion and two half-medallions); ruled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
