metadata: item UID,metadata: item ID,metadata: item n,metadata: file URL,metadata: ms ID,metadata: shelfmark,metadata: collection,metadata: ms type,metadata: part name,metadata: part ID,metadata: nest level,locus: locus,locus: from,locus: to,locus: inferred end,length: est fols,length: est cols,length: est lines,length: est % of ms,length: est % of part,work: title,work: title type,work: work ID,work: standard title(s),work: class(es),work: associated subject(s),work: subject URI(s),work: theology,work: documents,work: bible,work: literature,work: science,work: liturgy,work: history,work: law,work: philosophy,work: hagiography,work: medicine,work: christian literature,work: sermons,work: classical literature,work: monasticism and religious orders,work: grammar,work: clergy,work: rhetoric,work: geography,work: natural history,work: politics and government,work: music,work: indexes,work: conduct,work: heraldry,work: magic,work: bibliography,work: recreation,author: name(s),author: standard name(s),author: ID(s),language: text lang(s),language: main,language: other,paratext: incipit,paratext: explicit,paratext: rubric(s),paratext: rubric note(s),paratext: final rubric(s),paratext: final rubric note(s),bibliography: note(s),bibliography: bibl,bibliography: repertory/ies,bibliography: edition(s),bibliography: commented on,bibliography: related,bibliography: commentary/ies,bibliography: bible,bibliography: ms(s),bibliography: IMEV,bibliography: IMEV URI(s),bibliography: WIC,bibliography: WIC URI(s)
Eton Pote 436_item_1,Eton_436-item1,1.0,manuscript_15595,Eton Pote 436,,,manuscript,,Eton_436,1,,,,,,,,,,Siyar al-Mutaʾakhkhirīn; سير المتأخرين,,work_9519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ṭabāṭāḅāʾī, Ghulām Husayn Khān غلام حسين بن هدايت علی خان بن السيد عليم الله بن السيد فيض الله الطباطبائی الحسينی",,person_54543418,Persian,fa,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous. ; Note concerning work: There is an English translation by J. Briggs: The Siyar-u-Mutakherin.,"Margoliouth no. 199 (shelf/item: 16/14) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.280 [BL Add. 6577-6578]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.157, no. 416 [BL IO Islamic 3319]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.133, no. 254 [Bodl. Ouseley 330/3]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III A.F.L. Beeston 1954 p.7 no. 2471 [Bodl.. Ms. Ind. Inst. Pers. 25-26]; Persian Literature: a bio-bibliographical survey C. A. Storey 1927–39 I.1 p.637 (not later than 1790CE); Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.158; A catalogue of Persian manuscripts in the library of the University of Cambridge, E. Browne (1896) p.176, no. 101 [Camb. Add. 408]",,,,,,,,,,,
Eton Pote 350_item_1,Eton_350-item1,1.0,manuscript_15499,Eton Pote 350,,,manuscript,,Eton_350,1,,,,,,,,,,Laz̲z̲at al-Nisāʾ (?); Laz̲z̲at al-Sanāʾ (?); لذة النساء; لذة السناء,,work_21100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(perhaps) Nakhshabī, Z̤iyāʾ al-dīn, d. 1350 نخشبى، ضياء الدين",,person_97126146,Persian,fa,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous. ; Note concerning work: There is a digital copy of the Ladhdhat al-Nisa = Kitab al-Īḍāḥ fī Asrār al-Nukāḥ attributed to Nakhshabī at http://www.kb.dk/manus/ortsam/2009/okt/orientalia/object82615/en/.,Margoliouth no. (shelf/item: /) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.680 [BL Add. 17489 (where an earlier work with the title Lidhdhat al-Nisāʾ is attributed to Z̤iyāʾ al-dīn Nakhshabī); p.740 [BL Add. 26300 (a work by the same Z̤iyāʾ al-dīn Nakhshabī who was author of a Ladhdhat al-Nisāʾ)],,,,,,,,,,,
Eton Pote 378_item_1,Eton_378-item1,1.0,manuscript_15530,Eton Pote 378,,,manuscript,,Eton_378,1,,,,,,,,,,Commentary on the Sharḥ al-Maʿānī; حاشية على شرح المعانى,,work_11318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anonymous,,person_f407,Arabic,ar,,,,,,,,Note concerning author: Could the author be al-Tahawi? ; Colophon details: Date: Undated Scribe: Anonymous. ; Colophon further notes: A colophon gives the date in which the marginal notes were written: year 2.,Margoliouth no. 46 (shelf/item: 2/3),,,,,,,,,,,
Eton Pote 387_item_1,Eton_387-item1,1.0,manuscript_15541,Eton Pote 387,,,manuscript,,Eton_387,1,,,,,,,,,,Mūjiz al-Qānūn; موجز القانون,,work_2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ibn al-Nafīs, ʿAlī ibn Abī al-Ḥazm, 1210 or 11-1288 ابن النفيس، علي بن أبي الحزم، ت. 687 هـ",,person_17316331,Arabic,ar,,,,,,,,"Colophon details: Date: Thursday 9 Jumādā II year 48 (probably Aurangzeb, i.e. 1116) / 9 Oct 1704 (?) {alternatively Akbar, a century earlier} Scribe: Anonymous.","Margoliouth no. 67 (shelf/item: 13/19) ; Geschichte der arabischen Literatur C. Brockelmann 1892-1902 (2 vols. plus supplements) GAL I.457;GAL I.493; GAL Supp. I.825; Supplement to the catalogue of the Arabic manuscripts in the British Museum, C. Rieu (1894) p.546 no.805 [BL Or. 2794]; A descriptive list of the Arabic manuscripts acquired by the Trustees of the British Museum since 1894, A. G. Ellis and E. Edwards (1912) p.44 [BL Or. 5659]",,,,,,,,,,,
Eton Pote 393_item_1,Eton_393-item1,1.0,manuscript_15547,Eton Pote 393,,,manuscript,,Eton_393,1,,,,,,,,,,Barf va ʾĀh; برف وآه,,work_11327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kāmil Kashmīrī كامل كشميرى,,person_f6110,Persian,fa,,,,,,,,Colophon details: Date: 3 Jumādā II 1190 / 20 Jul 1776 Scribe: Mīr Hidāyat Allāh مير هدايت الله .,Margoliouth no. 143 (shelf/item: 13/16),,,,,,,,,,,
Eton Pote 385_item_1,Eton_385-item1,1.0,manuscript_15539,Eton Pote 385,,,manuscript,,Eton_385,1,,,,,,,,,,Manṭiq al-Ṭayr; منطق الطير,,work_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farīd al-dīn ʿAṭṭār (d. ca. 1230) عطار، فريد الدين,,person_120724759,Persian,fa,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous.,"Margoliouth no. 123 (shelf/item: 2/4) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.577 [BL Add. 7735]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.613, no. 1031/5 [BL IO Islamic 559]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.504, no. 628 [Bodl. Elliot 246]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III A.F.L. Beeston 1954 p.25 no. 2564 [Bodl. Ms. Pers. d. 71]; A catalogue of Persian manuscripts in the library of the University of Cambridge, E. Browne (1896) p.312, no. 223 [Camb. Dd. 11.17]",,,,,,,,,,,
Eton Pote 391_item_1,Eton_391-item1,1.0,manuscript_15545,Eton Pote 391,,,manuscript,,Eton_391,1,,,,,,,,,,al-Qurʾān; القرآن,,work_112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic,ar,,,,,,,,Colophon details: Date: Undated Scribe: Anonymous.,Margoliouth no. 5 (shelf/item: 5/10) ; Persian Literature: a bio-bibliographical survey C. A. Storey 1927–39 III.1 p.154,,,,,,,,,,,
Eton Pote 408_item_1,Eton_408-item1,1.0,manuscript_15565,Eton Pote 408,,,manuscript,,Eton_408,1,,,,,,,,,,Epitome of the Milal va Niḥal; الملل والنحل,,work_569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shahristānī, Muḥammad ibn ʿAbd al-Karīm, 1086-1153 الشهرستاني، محمد ابن عبد الكريم ابو الفتح",,person_12144648170717686400,Persian,fa,,,,,,,,Colophon details: Date: 25 Shaʿbān year 1106 (?) / 10 Apr 1695 (?) Scribe: Anonymous.,"Margoliouth no. 49 (shelf/item: 14/17) ; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.360 (entitled Tauzīh al-Milal); Catalogus codicum manuscriptorum orientalium qui in Museo britannico asservantur. Pars secunda, codices arabicos amplectens, C. Rieu (1846-1871) p.111 no.178 [BL Add. 7250 Rich.]",,,,,,,,,,,
Eton Pote 346_item_1,Eton_346-item1,1.0,manuscript_15495,Eton Pote 346,,,manuscript,,Eton_346,1,,,,,,,,,,Karm-Vipāk; كرم وپاك,,work_11285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anonymous,,person_f407,Persian,fa,,,,,,,,Colophon details: Date: 25 Safar year 6 ʿĀlamgīr (i.e. 1073) / 9 Oct 1662 Scribe: Anonymous.,Margoliouth no. 153 (shelf/item: 13/10),,,,,,,,,,,
Eton Pote 352_item_1,Eton_352-item1,1.0,manuscript_15501,Eton Pote 352,,,manuscript,,Eton_352,1,,,,,,,,,,"Laṭāʾif al-Lughāt (Farhang, or glossary, to the Mathnavī of Rūmī); لطائف اللغات",,work_2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ʿAbbāsī, ʿAbd al-Laṭīf, -1639 or 1640 ‏عباسى، عبد اللطيف",,person_220725873,Persian,fa,,,,,,,,"Colophon details: Place: Ramgarh, Zafarābād Date: Tuesday 5 Rajab 1088 (year 21 Aurangzeb) / 3 Sep 1677 Scribe: Ḥasan Muḥammad حسن محمد .","Margoliouth no. 106 (shelf/item: 14/12) ; Catalogue of the Persian manuscripts in the British Museum (3 vols.) C. Rieu 1879-1883 p.590 [BL Royal 16 B. XIX]; Catalogue of Persian manuscripts in the library of the India Office (2 vols.) H. Ethé 1903-37 col.644, no. 1091 [BL IO Islamic 1033]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library E. Sachau and H. Ethé 1889 col.1014, no. 1748 [Bodl. Ouseley Add. 117]; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III A.F.L. Beeston 1954 p.28 no. 2574 [Bodl. Ms. Whinfield 23]; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts D.N. Marshall 1962 p.15",,,,,,,,,,,
