metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
MS_Marsh_621_hist_1,manuscript_1163,,MS_Marsh_621,,manuscript,,MS_Marsh_621,"The collections of Jacob Golius [see Golius Sale Catalogue, Libri Mathematici in quarto &c. no. 3].",,,,,,,,,,,,,,,,,,,,,,,Jacob Golius,person_10605557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_621_hist_2,manuscript_1163,,MS_Marsh_621,,manuscript,,MS_Marsh_621,"The Library of Archbishop Narcissus Marsh, d. .1713",,,,,,,,,,,,,,,,,,,,,,,"Archbishop Narcissus Marsh, d. 1713",person_22965285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Marsh_621_hist_3,manuscript_1163,,MS_Marsh_621,,manuscript,,MS_Marsh_621,The Marsh bequest entered the Bodleian Library in 1714.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Digby_Or_6_hist_1,manuscript_942,,MS_Digby_Or_6,,manuscript,,MS_Digby_Or_6,"The collections of Sir Kenelm Digby, 1603-1665.",,,,,,,,,,,,,,,,,,,,,,,"Sir Kenelm Digby, 1603-1665",person_49357645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Digby_Or_6_hist_2,manuscript_942,,MS_Digby_Or_6,,manuscript,,MS_Digby_Or_6,Presented to the Bodleian Library in 1640 along with the Laudian Collections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_547_hist_1,manuscript_1021,,MS_Huntington_547,,manuscript,,MS_Huntington_547,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_547_hist_2,manuscript_1021,,MS_Huntington_547,,manuscript,,MS_Huntington_547,Purchased by the Bodleian Library in 1693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Or_196_hist_1,manuscript_22970,,MS_Laud_Or_196,,manuscript,,MS_Laud_Or_196,The Library of Archbishop William Laud.,,,,,,,,,,,,,,,,,,,,,,,Archbishop William Laud,person_54940373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Or_196_hist_2,manuscript_22970,,MS_Laud_Or_196,,manuscript,,MS_Laud_Or_196,"Donated to the Library by Archbishop William Laud, 1635-41.",,,,,,,,,,,,,,,,,,,,,,,,,Archbishop William Laud,person_54940373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Seld_A_74_hist_1,manuscript_4165,,MS_Arch_Seld_A_74,,manuscript,,MS_Arch_Seld_A_74,The collections of John Selden.,,,,,,,,,,,,,,,,,,,,,,,John Selden,person_51728429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Seld_A_74_hist_2,manuscript_4165,,MS_Arch_Seld_A_74,,manuscript,,MS_Arch_Seld_A_74,Presented to the Bodleian Library by Selden's estate in 1659.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_194222_hist_1,manuscript_1423,,MS_Pococke_194222,,manuscript,,MS_Pococke_194222,"The collections of Edward Pococke, d. 1691.",,,,,,,,,,,,,,,,,,,,,,,"Edward Pococke, d. 1691",person_41849535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Pococke_194222_hist_2,manuscript_1423,,MS_Pococke_194222,,manuscript,,MS_Pococke_194222,Purchased by the Bodleian Library in 1692.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Seld_A_60_hist_1,manuscript_4153,,MS_Arch_Seld_A_60,,manuscript,,MS_Arch_Seld_A_60,The collections of John Selden.,,,,,,,,,,,,,,,,,,,,,,,John Selden,person_51728429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Seld_A_60_hist_2,manuscript_4153,,MS_Arch_Seld_A_60,,manuscript,,MS_Arch_Seld_A_60,Presented to the Bodleian Library by Selden's estate in 1659.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_553_hist_1,manuscript_11239,,MS_Huntington_553,,manuscript,,MS_Huntington_553,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_553_hist_2,manuscript_11239,,MS_Huntington_553,,manuscript,,MS_Huntington_553,Purchased by the Bodleian Library in 1693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_donat_17_hist_1,manuscript_22997,,MS_Huntington_donat_17,,manuscript,,MS_Huntington_donat_17,"The collections of Robert Huntington, d. .1701",,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Huntington_donat_17_hist_2,manuscript_22997,,MS_Huntington_donat_17,,manuscript,,MS_Huntington_donat_17,"Presented to the Bodleian Library by Robert Huntington, d. between 17011678-1683.",,,,,,,,,,,,,,,,,,,,,,,,,"Robert Huntington, d. 1701",person_34684157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
