metadata: history UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: history,overview: type,dates: when,dates: not before,dates: not after,dates: from,dates: to,dates: certainty,dates: calendar,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: annotator name(s),people: annotator ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: binder name(s),people: binder ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: bookseller name(s),people: bookseller ID(s),people: other name(s),people: other ID(s),former owners (person): standard name(s),former owners (person): birth,former owners (person): death,former owners (person): floruit not before,former owners (person): floruit not after,former owners (person): occupation,former owners (person): sex,former owners (person): nationality,former owners (person): lang knowledge,former owners (person): residence,former owners (person): affiliation,orgs: former owner name(s),orgs: former owner ID(s),orgs: patron name(s),orgs: patron ID(s),orgs: donor name(s),orgs: donor ID(s),orgs: other name(s),orgs: other ID(s),former owners (org): standard name(s),former owners (org): affiliation,former owners (org): latitude,former owners (org): longitude,former owners (org): settlement,former owners (org): country,places: name(s),places: ID(s),places: standard name(s),places: longitude,places: latitude,places: region,places: country
Eton Pote 392_hist_1,manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 392_hist_2,manuscript_15546,,Eton Pote 392,,manuscript,,Eton_392,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 386_hist_1,manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 386_hist_2,manuscript_15540,,Eton Pote 386,,manuscript,,Eton_386,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 379_hist_1,manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 379_hist_2,manuscript_15531,,Eton Pote 379,,manuscript,,Eton_379,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 437_hist_1,manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 437_hist_2,manuscript_15596,,Eton Pote 437,,manuscript,,Eton_437,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 351_hist_1,manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 351_hist_2,manuscript_15500,,Eton Pote 351,,manuscript,,Eton_351,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 345_hist_1,manuscript_15494,,Eton Pote 345,,manuscript,,Eton_345,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 345_hist_2,manuscript_15494,,Eton Pote 345,,manuscript,,Eton_345,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 423_hist_1,manuscript_15582,,Eton Pote 423,,manuscript,,Eton_423,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 423_hist_2,manuscript_15582,,Eton Pote 423,,manuscript,,Eton_423,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 278(2)_hist_1,manuscript_15417,,Eton Pote 278(2),,manuscript,,Eton_278_2,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 278(2)_hist_2,manuscript_15417,,Eton Pote 278(2),,manuscript,,Eton_278_2,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 344_hist_1,manuscript_15493,,Eton Pote 344,,manuscript,,Eton_344,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 344_hist_2,manuscript_15493,,Eton Pote 344,,manuscript,,Eton_344,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 422_hist_1,manuscript_15581,,Eton Pote 422,,manuscript,,Eton_422,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 422_hist_2,manuscript_15581,,Eton Pote 422,,manuscript,,Eton_422,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 436_hist_1,manuscript_15595,,Eton Pote 436,,manuscript,,Eton_436,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 436_hist_2,manuscript_15595,,Eton Pote 436,,manuscript,,Eton_436,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 350_hist_1,manuscript_15499,,Eton Pote 350,,manuscript,,Eton_350,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 350_hist_2,manuscript_15499,,Eton Pote 350,,manuscript,,Eton_350,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 378_hist_1,manuscript_15530,,Eton Pote 378,,manuscript,,Eton_378,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 378_hist_2,manuscript_15530,,Eton Pote 378,,manuscript,,Eton_378,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 387_hist_1,manuscript_15541,,Eton Pote 387,,manuscript,,Eton_387,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 387_hist_2,manuscript_15541,,Eton Pote 387,,manuscript,,Eton_387,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 393_hist_1,manuscript_15547,,Eton Pote 393,,manuscript,,Eton_393,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 393_hist_2,manuscript_15547,,Eton Pote 393,,manuscript,,Eton_393,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 385_hist_1,manuscript_15539,,Eton Pote 385,,manuscript,,Eton_385,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 385_hist_2,manuscript_15539,,Eton Pote 385,,manuscript,,Eton_385,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 391_hist_1,manuscript_15545,,Eton Pote 391,,manuscript,,Eton_391,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 391_hist_2,manuscript_15545,,Eton Pote 391,,manuscript,,Eton_391,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 408_hist_1,manuscript_15565,,Eton Pote 408,,manuscript,,Eton_408,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 408_hist_2,manuscript_15565,,Eton Pote 408,,manuscript,,Eton_408,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 346_hist_1,manuscript_15495,,Eton Pote 346,,manuscript,,Eton_346,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 346_hist_2,manuscript_15495,,Eton Pote 346,,manuscript,,Eton_346,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 352_hist_1,manuscript_15501,,Eton Pote 352,,manuscript,,Eton_352,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 352_hist_2,manuscript_15501,,Eton Pote 352,,manuscript,,Eton_352,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 434_hist_1,manuscript_15593,,Eton Pote 434,,manuscript,,Eton_434,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 434_hist_2,manuscript_15593,,Eton Pote 434,,manuscript,,Eton_434,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 278(1)_hist_1,manuscript_15416,,Eton Pote 278(1),,manuscript,,Eton_278_1,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 278(1)_hist_2,manuscript_15416,,Eton Pote 278(1),,manuscript,,Eton_278_1,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 353_hist_1,manuscript_15502,,Eton Pote 353,,manuscript,,Eton_353,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 353_hist_2,manuscript_15502,,Eton Pote 353,,manuscript,,Eton_353,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 435_hist_1,manuscript_15594,,Eton Pote 435,,manuscript,,Eton_435,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 435_hist_2,manuscript_15594,,Eton Pote 435,,manuscript,,Eton_435,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 421_hist_1,manuscript_15580,,Eton Pote 421,,manuscript,,Eton_421,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 421_hist_2,manuscript_15580,,Eton Pote 421,,manuscript,,Eton_421,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 347_hist_1,manuscript_15496,,Eton Pote 347,,manuscript,,Eton_347,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 347_hist_2,manuscript_15496,,Eton Pote 347,,manuscript,,Eton_347,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 409_hist_1,manuscript_15566,,Eton Pote 409,,manuscript,,Eton_409,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 409_hist_2,manuscript_15566,,Eton Pote 409,,manuscript,,Eton_409,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 390_hist_1,manuscript_15544,,Eton Pote 390,,manuscript,,Eton_390,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 390_hist_2,manuscript_15544,,Eton Pote 390,,manuscript,,Eton_390,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 258(1)_hist_1,manuscript_15393,,Eton Pote 258(1),,manuscript,,Eton_258_1,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 258(1)_hist_2,manuscript_15393,,Eton Pote 258(1),,manuscript,,Eton_258_1,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 394_hist_1,manuscript_15548,,Eton Pote 394,,manuscript,,Eton_394,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 394_hist_2,manuscript_15548,,Eton Pote 394,,manuscript,,Eton_394,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 343_hist_1,manuscript_15492,,Eton Pote 343,,manuscript,,Eton_343,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",,,,,,,,,,,,,,,,,,,,,,,Colonel Antoine-Louis Henri Polier (1741–1795),person_7537069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eton Pote 343_hist_2,manuscript_15492,,Eton Pote 343,,manuscript,,Eton_343,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,,,,,,,,,,,,,,,,,,,,,Edward Ephraim Pote (d.1832),person_f5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
